,Country,ratio,total,year,month
143,MW,-0.1333333333333333,270.0,2020,8
144,MX,-0.1705298013245033,1208.0,2020,8
145,MY,-0.0961087669948429,2133.0,2020,8
146,MZ,0.1388888888888889,36.0,2020,8
147,NC,0.5,6.0,2020,8
148,NE,1.0,1.0,2020,8
149,NG,-0.1309103740296401,8502.0,2020,8
150,NI,-0.2954545454545454,44.0,2020,8
151,NL,-0.1934545454545454,1375.0,2020,8
152,NO,-0.2651296829971181,347.0,2020,8
153,NP,-0.0699774266365688,886.0,2020,8
154,NR,-1.0,1.0,2020,8
155,NU,-0.5,4.0,2020,8
156,NZ,-0.3052608311229001,4524.0,2020,8
157,OM,0.0202020202020202,297.0,2020,8
158,PA,-0.201058201058201,189.0,2020,8
159,PE,0.0158730158730158,126.0,2020,8
160,PF,0.0,4.0,2020,8
161,PG,-0.2972972972972973,74.0,2020,8
162,PH,-0.0167249505853732,6577.0,2020,8
163,PK,-0.1110143665650849,2297.0,2020,8
164,PL,-0.1671159029649595,371.0,2020,8
165,PR,-0.0909090909090909,11.0,2020,8
166,PT,-0.3679060665362035,511.0,2020,8
167,PW,0.4,5.0,2020,8
168,PY,-0.0754716981132075,53.0,2020,8
169,QA,-0.0530612244897959,245.0,2020,8
170,RE,0.5,4.0,2020,8
171,RO,-0.1869158878504672,107.0,2020,8
172,RS,-0.2210526315789473,95.0,2020,8
173,RU,-0.2267441860465116,172.0,2020,8
174,RW,0.0967741935483871,217.0,2020,8
175,SA,-0.0415913200723327,553.0,2020,8
176,SB,0.5714285714285714,7.0,2020,8
177,SC,-0.631578947368421,19.0,2020,8
178,SD,0.0,6.0,2020,8
179,SE,-0.2318104906937394,591.0,2020,8
180,SG,-0.0811724915445321,887.0,2020,8
181,SI,-0.109375,64.0,2020,8
182,SK,-0.2195121951219512,41.0,2020,8
183,SL,-0.0158730158730158,63.0,2020,8
184,SM,0.0,2.0,2020,8
185,SN,0.0428571428571428,70.0,2020,8
186,SO,-0.1688311688311688,77.0,2020,8
187,SR,-0.3773584905660377,53.0,2020,8
188,SV,-0.1162790697674418,43.0,2020,8
189,SX,0.0,11.0,2020,8
190,SY,-0.3125,16.0,2020,8
191,SZ,-0.1630434782608695,92.0,2020,8
192,TC,-0.4285714285714285,56.0,2020,8
193,TD,-1.0,1.0,2020,8
194,TF,-1.0,1.0,2020,8
195,TG,0.5,10.0,2020,8
196,TH,-0.2183462532299741,774.0,2020,8
197,TJ,0.5,2.0,2020,8
198,TL,0.2142857142857142,28.0,2020,8
199,TM,-1.0,2.0,2020,8
200,TN,-0.3243243243243243,37.0,2020,8
201,TO,-0.1666666666666666,6.0,2020,8
202,TR,-0.1149012567324955,557.0,2020,8
203,TT,-0.2989949748743719,1194.0,2020,8
204,TW,-0.1909090909090909,220.0,2020,8
205,TZ,-0.1317365269461078,167.0,2020,8
206,UA,-0.2439024390243902,82.0,2020,8
207,UG,-0.1980244590780809,2126.0,2020,8
208,UM,0.0,18.0,2020,8
209,US,-0.325533910449848,343316.0,2020,8
210,UY,-0.3854166666666667,96.0,2020,8
211,UZ,0.2666666666666666,15.0,2020,8
212,VA,-1.0,2.0,2020,8
213,VC,-0.2857142857142857,28.0,2020,8
214,VE,-0.2285714285714285,105.0,2020,8
215,VG,-0.1891891891891892,74.0,2020,8
216,VI,-0.09375,32.0,2020,8
217,VN,-0.1245674740484429,289.0,2020,8
218,VU,0.0,6.0,2020,8
219,WS,-0.25,12.0,2020,8
220,XK,-0.1304347826086956,46.0,2020,8
221,YE,0.0,4.0,2020,8
222,YT,0.5,2.0,2020,8
223,ZA,-0.2158318355864655,12797.0,2020,8
224,ZM,-0.2857142857142857,406.0,2020,8
225,ZW,-0.28719723183391,578.0,2020,8
226,AD,0.6,5.0,2020,11
227,AE,-0.0087108013937282,1148.0,2020,11
228,AF,0.0,36.0,2020,11
229,AG,-0.063063063063063,111.0,2020,11
230,AI,-0.5,2.0,2020,11
231,AL,-0.15,80.0,2020,11
232,AM,-0.6111111111111112,36.0,2020,11
233,AO,-0.0666666666666666,15.0,2020,11
234,AQ,0.8,5.0,2020,11
235,AR,-0.0938337801608579,373.0,2020,11
236,AS,0.0,2.0,2020,11
237,AT,-0.0075642965204236,661.0,2020,11
238,AU,-0.218548761866826,15063.0,2020,11
239,AW,-0.25,32.0,2020,11
240,AZ,0.2222222222222222,27.0,2020,11
241,BA,0.074074074074074,27.0,2020,11
242,BB,-0.1526315789473684,190.0,2020,11
